name;price;change;24h_volume
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
BTCBitcoin;$65,999.09;-0.28%;$26.96B
ETHEthereum;$3,182.66;-0.03%;$1,299.42B
USDTTetherUS;$1.00;-1.05%;$11.50B
BNBBNB;$596.00;-1.88%;$382.14B
SOLSolana;$153.55;-1.48%;$50.48B
USDCUSD Coin;$0.9996;-0.86%;$109.84B
